,name,country,type,factor,position,club,values,
0,Attila Szalai,hu,player,0.41,DF,Hoffenheim,"0,0,0,0,9,10,10,41,13,8,7,4,8,14",
0,Loic Nego,hu,player,0.67,DF,Le Havre,"0,0,0,0,12,6,0,24,6,9,9,7,11,67",
0,Bendeguz Bolla,hu,player,1.6666666666666667,MF,Servette,"0,0,0,0,14,19,34,100,27,9,5,5,3,26",
0,Daniel Gazdag,hu,player,0.28,MF,Philadelphia Union,"0,0,0,0,4,0,0,28,0,0,5,4,0,8",
0,Krisztofer Horvath,hu,player,0.09,MF,Kecskemeti,"0,0,0,0,0,0,6,9,4,0,7,0,0,5",
0,Laszlo Kleinheisler,hu,player,0.91,MF,Hajduk Split,"0,0,0,0,22,4,7,91,12,5,6,7,8,13",
0,Mihály Kata,hu,player,0.1,MF,MTK Budapest,"0,0,0,0,0,0,0,10,0,0,0,0,5,0",
0,Adam Nagy,hu,player,0.8,MF,Spezia,"0,0,0,0,19,12,23,61,33,24,19,28,72,80",
0,Andras Schafer,hu,player,0.28,MF,Union Berlin,"0,0,0,0,10,13,9,28,11,11,14,9,19,21",
0,Dominik Szoboszlai,hu,player,7.6923076923076925,MF,Liverpool,"45,49,30,55,45,37,36,100,61,38,42,43,47,61",
0,Callum Styles,hu,player,1.0416666666666667,MF,Barnsley,"0,0,0,100,18,11,10,91,46,40,20,19,14,25",
0,Roland Sallai,hu,player,1.0309278350515463,FW,Freiburg,"0,0,0,0,10,7,12,100,26,15,22,13,20,34",
0,Martin Adam,hu,player,1.3333333333333333,FW,Ulsan HD,"0,0,0,0,5,3,4,100,12,9,7,9,33,31",
0,Barnabas Varga,hu,player,1.7241379310344827,FW,Ferencvaros,"0,0,0,0,5,2,4,100,31,11,13,10,16,20",
0,Kevin Csoboth,hu,player,0.66,FW,Ujpest FC,"0,0,0,0,4,0,0,66,7,5,0,0,0,8",
0,Marco Rossi /g/121vxbpx.3,hu,trainer,1.0,,,"0,0,0,0,49,45,22,86,31,23,28,33,100,82",
0,empty2hu,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,empty1hu,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,Angus Gunn,scot,player,2.3255813953488373,GK,Norwich City,"0,0,0,0,0,1,9,2,1,2,1,1,2,100",
0,Zander Clark,scot,player,0.09,GK,Rangers,"0,0,0,0,1,2,4,2,1,2,1,1,1,9",
0,Liam Kelly,scot,player,0.06,GK,Motherwell,"0,0,0,0,2,6,3,0,0,0,0,0,0,0",
0,Andy Robertson,scot,player,1.0638297872340425,DF,Liverpool,"0,0,0,0,6,6,31,15,12,45,13,12,19,100",
0,Kieran Tierney,scot,player,0.6,DF,Real Sociedad,"0,0,0,0,12,9,27,15,52,23,11,12,11,60",
0,Jack Hendry,scot,player,0.99,DF,Al Ettifaq,"0,0,0,0,2,2,22,4,5,3,2,4,4,99",
0,Ryan Porteous,scot,player,2.127659574468085,DF,Watford,"0,0,0,0,0,1,2,1,1,1,1,1,2,100",
0,Liam Cooper,scot,player,0.21,DF,Leeds United,"0,0,21,0,1,2,2,3,4,2,0,1,0,4",
0,Scott McKenna,scot,player,0.28,DF,FC Copenhagen,"0,0,0,0,12,10,14,4,3,3,12,9,6,28",
0,Grant Hanley,scot,player,0.33,DF,Norwich City,"0,0,0,0,1,2,19,6,4,3,2,2,3,33",
0,Greg Taylor,scot,player,0.08,DF,Celtic,"0,0,0,0,3,4,8,6,3,3,2,3,2,7",
0,Anthony Ralston,scot,player,0.52,DF,Celtic,"0,0,0,0,0,1,18,4,2,2,3,2,2,52",
0,Ross McCrorie,scot,player,0.37,DF,Bristol City,"0,0,37,0,3,2,6,2,2,1,1,3,2,9",
0,Callum McGregor,scot,player,0.65,MF,Celtic,"0,0,0,0,9,6,12,7,5,6,8,6,7,65",
0,Ryan Christie,scot,player,0.53,MF,Bournemouth,"0,0,0,0,1,3,13,4,2,2,2,3,4,53",
0,Billy Gilmour,scot,player,0.72,MF,Brighton & Hove Albion,"0,0,0,0,3,5,23,9,7,6,9,17,12,72",
0,John McGinn,scot,player,2.127659574468085,MF,Aston Villa,"0,0,0,0,5,5,15,8,11,26,20,17,26,100",
0,Kenny McLean,scot,player,0.23,MF,Norwich City,"0,0,23,0,12,13,5,2,2,3,3,4,5,16",
0,Scott McTominay,scot,player,1.1904761904761905,MF,Manchester United,"0,0,0,0,6,7,19,11,8,9,12,11,22,100",
0,Stuart Armstrong,scot,player,0.18,MF,Southampton,"0,0,0,0,18,9,7,5,7,7,4,4,6,9",
0,Ryan Jack,scot,player,0.49,MF,Rangers,"49,0,0,0,5,5,16,8,5,5,5,4,5,11",
0,Che Adams,scot,player,0.7,FW,Southampton,"0,0,0,0,5,6,10,4,4,4,3,4,6,70",
0,Lawrence Shankland,scot,player,0.62,FW,Hearts,"0,25,0,0,8,8,62,20,12,19,12,15,14,46",
0,James Forrest,scot,player,0.11,FW,Celtic,"0,0,0,0,9,8,7,7,5,5,4,5,5,11",
0,Tommy Conway,scot,player,1.5625,FW,Bristol City,"0,17,34,100,30,14,77,24,5,4,13,17,7,8",
0,Lewis Morgan,scot,player,1.694915254237288,FW,New York Red Bulls,"0,0,0,0,1,100,36,16,4,3,2,5,3,6",
0,Steve Clarke /m/051h1n.3,scot,trainer,1.0,,,"0,0,0,0,5,8,17,17,7,8,8,10,21,94",
0,empty2scot,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,empty1scot,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
